ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Newham,London,2021-01-17,11949,3085,353134,8,2021-01-06,2021-01-22,2021-01-14,25.818060088710354,25.041238274554008,26.610425307620076
North Devon,South West,2020-11-22,3168,124,97145,7,2020-11-13,2020-12-03,2020-11-23,3.9141414141414144,3.292751111466643,4.647162093222031
North Devon,South West,2021-01-17,3256,80,97145,8,2021-01-06,2021-01-22,2021-01-14,2.457002457002457,1.9786473278424448,3.04740872090683
North East Derbyshire,East Midlands,2020-11-22,2831,211,101462,7,2020-11-13,2020-12-03,2020-11-23,7.453196750264925,6.542335899329195,8.479366901569096
North East Derbyshire,East Midlands,2021-01-17,3168,355,101462,8,2021-01-06,2021-01-22,2021-01-14,11.205808080808081,10.1540302066795,12.351554264938567
North East Lincolnshire,Yorkshire and The Humber,2020-11-22,4734,525,159563,7,2020-11-13,2020-12-03,2020-11-23,11.08998732572877,10.226853368772863,12.016218037905398
North East Lincolnshire,Yorkshire and The Humber,2021-01-17,4043,188,159563,8,2021-01-06,2021-01-22,2021-01-14,4.650012367054168,4.042884092629588,5.3432374712081305
North Hertfordshire,East of England,2020-11-22,3640,142,133570,7,2020-11-13,2020-12-03,2020-11-23,3.901098901098901,3.3191546740611004,4.580241116716586
North Hertfordshire,East of England,2021-01-17,5031,751,133570,8,2021-01-06,2021-01-22,2021-01-14,14.927449811170742,13.969511083851662,15.938907505626743
North Kesteven,East Midlands,2020-11-22,3465,247,116915,7,2020-11-13,2020-12-03,2020-11-23,7.128427128427129,6.318351396676516,8.03345639652098
North Kesteven,East Midlands,2021-01-17,3279,279,116915,8,2021-01-06,2021-01-22,2021-01-14,8.508691674290942,7.601578348216452,9.512908168062843
North Lincolnshire,Yorkshire and The Humber,2020-11-22,5670,540,172292,7,2020-11-13,2020-12-03,2020-11-23,9.523809523809524,8.786918241119187,10.31550939431866
North Lincolnshire,Yorkshire and The Humber,2021-01-17,5065,249,172292,8,2021-01-06,2021-01-22,2021-01-14,4.91609081934847,4.354085952926537,5.546430030807771
North Norfolk,East of England,2020-11-22,3098,96,104837,7,2020-11-13,2020-12-03,2020-11-23,3.0987734021949644,2.5442833236086213,3.769432622890855
North Norfolk,East of England,2021-01-17,3605,287,104837,8,2021-01-06,2021-01-22,2021-01-14,7.961165048543689,7.121623362215288,8.89020385198222
North Northamptonshire,East Midlands,2020-11-22,10304,510,NA,7,2020-11-13,2020-12-03,2020-11-23,4.949534161490683,4.54726700316625,5.385379544715662
North Northamptonshire,East Midlands,2021-01-17,13655,1775,NA,8,2021-01-06,2021-01-22,2021-01-14,12.998901501281582,12.445240710783276,13.573374920234771
North Somerset,South West,2020-11-22,7494,452,215052,7,2020-11-13,2020-12-03,2020-11-23,6.03149186015479,5.514678743409157,6.593358800551993
North Somerset,South West,2021-01-17,8461,725,215052,8,2021-01-06,2021-01-22,2021-01-14,8.568727100815506,7.990961078015392,9.184097260563826
North Tyneside,North East,2020-11-22,6408,550,207913,7,2020-11-13,2020-12-03,2020-11-23,8.583021223470661,7.921755411812873,9.29391446882887
North Tyneside,North East,2021-01-17,6595,505,207913,8,2021-01-06,2021-01-22,2021-01-14,7.657316148597422,7.03990786568877,8.324023290218738
North Warwickshire,West Midlands,2020-11-22,2178,200,65264,7,2020-11-13,2020-12-03,2020-11-23,9.182736455463727,8.040739651995146,10.46846307618906
North Warwickshire,West Midlands,2021-01-17,2210,307,65264,8,2021-01-06,2021-01-22,2021-01-14,13.891402714932127,12.51200458005706,15.396112162404535
North West Leicestershire,East Midlands,2020-11-22,2700,246,103611,7,2020-11-13,2020-12-03,2020-11-23,9.11111111111111,8.082976804914978,10.255430471263116
North West Leicestershire,East Midlands,2021-01-17,3222,435,103611,8,2021-01-06,2021-01-22,2021-01-14,13.500931098696462,12.364322444330814,14.72446880519804
Northumberland,North East,2020-11-22,9966,705,322434,7,2020-11-13,2020-12-03,2020-11-23,7.074051776038531,6.587043356205849,7.59413961105002
Northumberland,North East,2021-01-17,11244,915,322434,8,2021-01-06,2021-01-22,2021-01-14,8.137673425827108,7.6464880948192055,8.657453115007979
Norwich,East of England,2020-11-22,3789,174,140573,7,2020-11-13,2020-12-03,2020-11-23,4.592240696753761,3.970498099953807,5.305962902718633
Norwich,East of England,2021-01-17,5246,785,140573,8,2021-01-06,2021-01-22,2021-01-14,14.96378192908883,14.024144327645727,15.954693531854819
