ltla,phe_region,mid_week,Nt,nt,M,round,start_date,end_date,mid_date,m,l,u
Waltham Forest,London,2021-01-17,9236,1947,276983,8,2021-01-06,2021-01-22,2021-01-14,21.080554352533564,20.260824861997502,21.92433032916295
Wandsworth,London,2020-11-22,7569,381,329677,7,2020-11-13,2020-12-03,2020-11-23,5.033690051525961,4.563539543860695,5.549460483740005
Wandsworth,London,2021-01-17,10775,1746,329677,8,2021-01-06,2021-01-22,2021-01-14,16.20417633410673,15.520473051109057,16.911968525995015
Warrington,North West,2020-11-22,5758,400,210014,7,2020-11-13,2020-12-03,2020-11-23,6.946856547412296,6.318444648657184,7.632676092266857
Warrington,North West,2021-01-17,8116,1158,210014,8,2021-01-06,2021-01-22,2021-01-14,14.268112370625923,13.52410226488298,15.0459316524741
Warwick,West Midlands,2020-11-22,4576,215,143753,7,2020-11-13,2020-12-03,2020-11-23,4.698426573426573,4.12240471665075,5.350444130226322
Warwick,West Midlands,2021-01-17,4217,467,143753,8,2021-01-06,2021-01-22,2021-01-14,11.074223381550865,10.162273227036248,12.05702754439637
Watford,East of England,2020-11-22,2924,140,96577,7,2020-11-13,2020-12-03,2020-11-23,4.7879616963064295,4.071625551883828,5.6229382697181345
Watford,East of England,2021-01-17,4078,682,96577,8,2021-01-06,2021-01-22,2021-01-14,16.72388425698872,15.609921839202753,17.900479596522885
Waverley,South East,2020-11-22,3713,109,126328,7,2020-11-13,2020-12-03,2020-11-23,2.935631564772421,2.4394208196733866,3.5291269722757908
Waverley,South East,2021-01-17,4549,462,126328,8,2021-01-06,2021-01-22,2021-01-14,10.156078258958011,9.311619291316841,11.067773824230596
Wealden,South East,2020-11-22,5505,234,161475,7,2020-11-13,2020-12-03,2020-11-23,4.250681198910082,3.7488893359991335,4.816277448120002
Wealden,South East,2021-01-17,6345,851,161475,8,2021-01-06,2021-01-22,2021-01-14,13.412135539795115,12.595722077963046,14.27282504019978
Welwyn Hatfield,East of England,2020-11-22,3198,140,123043,7,2020-11-13,2020-12-03,2020-11-23,4.377736085053159,3.7216776891568983,5.1432665147088015
Welwyn Hatfield,East of England,2021-01-17,4517,816,123043,8,2021-01-06,2021-01-22,2021-01-14,18.065087447420854,16.97041125570395,19.214035239958374
West Berkshire,South East,2020-11-22,3216,125,158450,7,2020-11-13,2020-12-03,2020-11-23,3.8868159203980097,3.2719640254557705,4.6116992563278805
West Berkshire,South East,2021-01-17,4593,485,158450,8,2021-01-06,2021-01-22,2021-01-14,10.559547136947529,9.70349648635856,11.481516474052093
West Devon,South West,2020-11-22,1827,44,55796,7,2020-11-13,2020-12-03,2020-11-23,2.40831964969896,1.7988710615538397,3.217481303541293
West Devon,South West,2021-01-17,2255,120,55796,8,2021-01-06,2021-01-22,2021-01-14,5.321507760532151,4.468723186726856,6.326255711349503
West Lancashire,North West,2020-11-22,3429,190,114306,7,2020-11-13,2020-12-03,2020-11-23,5.540974044911053,4.823802141094128,6.357648078065065
West Lancashire,North West,2021-01-17,4350,593,114306,8,2021-01-06,2021-01-22,2021-01-14,13.632183908045977,12.64454084049133,14.684002701445111
West Lindsey,East Midlands,2020-11-22,3203,230,95667,7,2020-11-13,2020-12-03,2020-11-23,7.180768029971901,6.3370504120832924,8.12707152150523
West Lindsey,East Midlands,2021-01-17,2791,230,95667,8,2021-01-06,2021-01-22,2021-01-14,8.240773916159084,7.277077531998763,9.319264895825956
West Northamptonshire,East Midlands,2020-11-22,12173,748,NA,7,2020-11-13,2020-12-03,2020-11-23,6.144746570278485,5.731815140380856,6.585348254517702
West Northamptonshire,East Midlands,2021-01-17,15994,2279,NA,8,2021-01-06,2021-01-22,2021-01-14,14.24909341002876,13.71594552207852,14.799410568698598
West Oxfordshire,South East,2020-11-22,3023,74,110643,7,2020-11-13,2020-12-03,2020-11-23,2.4478994376447236,1.954437275133185,3.062061305530963
West Oxfordshire,South East,2021-01-17,3700,261,110643,8,2021-01-06,2021-01-22,2021-01-14,7.054054054054054,6.272768569335112,7.924422770170075
West Suffolk,East of England,2020-11-22,4581,75,179045,7,2020-11-13,2020-12-03,2020-11-23,1.6371971185330716,1.3081639714540179,2.0472728566771123
West Suffolk,East of England,2021-01-17,7095,615,179045,8,2021-01-06,2021-01-22,2021-01-14,8.668076109936575,8.035534215893506,9.345350622541353
Westminster,London,2020-11-22,4614,327,261317,7,2020-11-13,2020-12-03,2020-11-23,7.087126137841353,6.381844703880024,7.8638037162087375
Westminster,London,2021-01-17,6607,1195,261317,8,2021-01-06,2021-01-22,2021-01-14,18.08687755410928,17.177385443365463,19.03345811916842
Wigan,North West,2020-11-22,8898,958,328662,7,2020-11-13,2020-12-03,2020-11-23,10.766464374016634,10.139286794599673,11.427503264533021
Wigan,North West,2021-01-17,10162,1305,328662,8,2021-01-06,2021-01-22,2021-01-14,12.841960244046447,12.205501924713062,13.506501055155534
Wiltshire,South West,2020-11-22,12223,465,500024,7,2020-11-13,2020-12-03,2020-11-23,3.804303362513295,3.479423505560027,4.158210972369691
Wiltshire,South West,2021-01-17,16761,1550,500024,8,2021-01-06,2021-01-22,2021-01-14,9.24765825428077,8.818372943893982,9.695619368199322
Winchester,South East,2020-11-22,3554,119,124859,7,2020-11-13,2020-12-03,2020-11-23,3.348339898705684,2.8054501812194657,3.991970716249544
Winchester,South East,2021-01-17,4260,372,124859,8,2021-01-06,2021-01-22,2021-01-14,8.732394366197182,7.921389688956946,9.617758190794058
Windsor and Maidenhead,South East,2020-11-22,3888,190,151422,7,2020-11-13,2020-12-03,2020-11-23,4.886831275720165,4.252561732183235,5.610159113002627
Windsor and Maidenhead,South East,2021-01-17,4858,615,151422,8,2021-01-06,2021-01-22,2021-01-14,12.659530671058047,11.753885935753177,13.624182626770025
Wirral,North West,2020-11-22,9146,300,324011,7,2020-11-13,2020-12-03,2020-11-23,3.280122457905095,2.9342514492593184,3.6652231048989363
Wirral,North West,2021-01-17,13376,2215,324011,8,2021-01-06,2021-01-22,2021-01-14,16.55950956937799,15.93919086080377,17.199030339101952
Woking,South East,2020-11-22,3099,209,100793,7,2020-11-13,2020-12-03,2020-11-23,6.744111003549532,5.913633533089358,7.681693989091701
Woking,South East,2021-01-17,3839,616,100793,8,2021-01-06,2021-01-22,2021-01-14,16.045845272206304,14.918846753043077,17.24072766770218
Wokingham,South East,2020-11-22,3723,197,171119,7,2020-11-13,2020-12-03,2020-11-23,5.29143164114961,4.617320735335248,6.057709668200763
Wokingham,South East,2021-01-17,4919,585,171119,8,2021-01-06,2021-01-22,2021-01-14,11.892661109981702,11.017664536495502,12.827130560803795
Wolverhampton,West Midlands,2020-11-22,8394,850,263357,7,2020-11-13,2020-12-03,2020-11-23,10.126280676673813,9.499045828439497,10.78999472055848
Wolverhampton,West Midlands,2021-01-17,10604,2286,263357,8,2021-01-06,2021-01-22,2021-01-14,21.557902678234626,20.78558413820103,22.350820912571702
Worcester,West Midlands,2020-11-22,2853,133,101222,7,2020-11-13,2020-12-03,2020-11-23,4.661759551349457,3.947263041823703,5.4981844116056795
Worcester,West Midlands,2021-01-17,4613,665,101222,8,2021-01-06,2021-01-22,2021-01-14,14.41578148710167,13.431765411917018,15.459013505178499
Worthing,South East,2020-11-22,3717,38,110570,7,2020-11-13,2020-12-03,2020-11-23,1.022329835889158,0.7457486645439164,1.4000417354050119
Worthing,South East,2021-01-17,5405,534,110570,8,2021-01-06,2021-01-22,2021-01-14,9.879740980573542,9.112518213542959,10.703952041334707
Wychavon,West Midlands,2020-11-22,3500,151,129433,7,2020-11-13,2020-12-03,2020-11-23,4.314285714285714,3.6897612821157035,5.038985792063641
Wychavon,West Midlands,2021-01-17,5001,590,129433,8,2021-01-06,2021-01-22,2021-01-14,11.797640471905618,10.93278410240976,12.721141172970418
Wyre,North West,2020-11-22,3106,175,112091,7,2020-11-13,2020-12-03,2020-11-23,5.634256278171281,4.876799197069373,6.501319704042611
Wyre,North West,2021-01-17,3939,388,112091,8,2021-01-06,2021-01-22,2021-01-14,9.85021579080985,8.958370306784042,10.820296093207222
Wyre Forest,West Midlands,2020-11-22,3190,204,101291,7,2020-11-13,2020-12-03,2020-11-23,6.394984326018808,5.597294507035431,7.297567812547706
Wyre Forest,West Midlands,2021-01-17,3605,380,101291,8,2021-01-06,2021-01-22,2021-01-14,10.540915395284326,9.580158152053695,11.585677685752934
York,Yorkshire and The Humber,2020-11-22,4525,234,210618,7,2020-11-13,2020-12-03,2020-11-23,5.171270718232044,4.563229760834128,5.855361022504115
York,Yorkshire and The Humber,2021-01-17,6510,785,210618,8,2021-01-06,2021-01-22,2021-01-14,12.05837173579109,11.289622803374362,12.871871896339005
