upper,lower,mean,var,mid_week,phe_region,alpha,beta
0.6924252671050873,0.5508712673428121,0.6252358896419284,0.0012620451713102844,2021-03-21,East Midlands,115.45837070948997,69.2053260204159
0.6876199659354488,0.5539236006403349,0.6241032739253691,0.0011291226842628668,2021-03-28,East Midlands,129.04614198302,77.7243515786777
0.6607085588357555,0.5149216366910142,0.5906170283558797,0.0013475613905700181,2021-04-04,East Midlands,105.38187398750449,73.04487114183851
0.6539462807565743,0.49523264307291276,0.57745582718251,0.0016137452888877507,2021-04-11,East Midlands,86.7346908256858,63.46673886440293
0.652530702169973,0.49430435615884677,0.5766868082113087,0.0015945670781291324,2021-04-18,East Midlands,87.71077743297144,64.38352433373828
0.6543630981840034,0.4938278833691108,0.5770459490289194,0.001647523750339565,2021-04-25,East Midlands,84.90645455536834,62.233395742953654
0.6901045788078323,0.5405296195374812,0.6192214592282955,0.001421047879188926,2021-05-02,East Midlands,102.12460864177572,62.79959919987187
0.7192238252733165,0.5959734907839749,0.6619379066762856,9.599909748812604e-4,2021-05-09,East Midlands,153.63731760042256,78.46499298013379
0.6997646643936295,0.5813038479882224,0.6433155559956698,8.768932797332484e-4,2021-05-16,East Midlands,167.69599089373975,92.97855572777631
0.6953892877316435,0.5582976372688842,0.6300224204196064,0.001184557270007536,2021-05-23,East Midlands,123.34418887858516,72.43327059092972
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-05-31,East of England,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-07,East of England,148.34981397048085,81.06350059381748
0.705994366200448,0.5805110164457054,0.646648666631345,9.916708546436272e-4,2020-06-14,East of England,148.34981397048085,81.06350059381748
0.658300007483264,0.5046458972840715,0.5845681566174686,0.0015084225608751826,2020-06-21,East of England,93.52788017907517,66.466945266537
0.6525134266500602,0.49472108142812476,0.5766241320773391,0.0015898634588309625,2020-06-28,East of England,87.96590032814686,64.58737560090935
