phe_region,mid_week,Nr,nr
West Midlands,2020-10-18,6219,60
West Midlands,2020-10-25,6499,113
West Midlands,2020-11-01,2044,22
West Midlands,2020-11-15,5010,68
West Midlands,2020-11-22,7744,70
West Midlands,2020-11-29,2989,18
West Midlands,2020-12-06,0,0
West Midlands,2020-12-27,2,0
West Midlands,2021-01-03,2380,28
West Midlands,2021-01-10,9547,129
West Midlands,2021-01-17,2777,37
West Midlands,2021-01-24,214,3
West Midlands,2021-02-07,5684,22
West Midlands,2021-02-14,7646,32
West Midlands,2021-02-21,2137,6
West Midlands,2021-03-14,4464,14
West Midlands,2021-03-21,6600,8
West Midlands,2021-03-28,1852,4
West Midlands,2021-04-18,3915,4
West Midlands,2021-04-25,6078,10
West Midlands,2021-05-02,1864,1
Yorkshire and The Humber,2020-05-31,529,1
Yorkshire and The Humber,2020-06-21,3193,1
Yorkshire and The Humber,2020-06-28,5871,5
Yorkshire and The Humber,2020-07-05,1120,0
Yorkshire and The Humber,2020-07-26,4260,2
Yorkshire and The Humber,2020-08-02,5239,3
Yorkshire and The Humber,2020-08-09,1406,1
Yorkshire and The Humber,2020-08-23,4660,5
Yorkshire and The Humber,2020-08-30,4076,11
Yorkshire and The Humber,2020-09-06,1359,1
Yorkshire and The Humber,2020-09-20,4725,26
Yorkshire and The Humber,2020-09-27,5464,35
Yorkshire and The Humber,2020-10-04,1404,13
Yorkshire and The Humber,2020-10-18,4903,80
Yorkshire and The Humber,2020-10-25,4402,90
Yorkshire and The Humber,2020-11-01,1384,18
Yorkshire and The Humber,2020-11-15,3874,42
Yorkshire and The Humber,2020-11-22,5266,41
Yorkshire and The Humber,2020-11-29,2142,24
Yorkshire and The Humber,2020-12-06,0,0
Yorkshire and The Humber,2020-12-27,1,0
Yorkshire and The Humber,2021-01-03,1935,12
Yorkshire and The Humber,2021-01-10,6968,66
Yorkshire and The Humber,2021-01-17,1512,13
Yorkshire and The Humber,2021-01-24,160,2
Yorkshire and The Humber,2021-02-07,4171,18
Yorkshire and The Humber,2021-02-14,5434,19
Yorkshire and The Humber,2021-02-21,1609,5
Yorkshire and The Humber,2021-03-14,3548,11
Yorkshire and The Humber,2021-03-21,4794,10
Yorkshire and The Humber,2021-03-28,1249,7
Yorkshire and The Humber,2021-04-18,2871,2
Yorkshire and The Humber,2021-04-25,4402,2
Yorkshire and The Humber,2021-05-02,1352,2
